rating,title,review_text,date,platform
5,,Hindi,2026-06-08 11:59:00+00:00,google_play
5,,best,2026-06-08 11:57:51+00:00,google_play
5,,Good app,2026-06-08 11:33:42+00:00,google_play
5,,good,2026-06-08 11:31:55+00:00,google_play
3,,your limit order is not working in options chains please try to fix it as may as possible,2026-06-08 11:23:21+00:00,google_play
5,,helpful app*,2026-06-08 11:20:03+00:00,google_play
5,,simply best,2026-06-08 11:16:00+00:00,google_play
1,,momo 3,2026-06-08 11:06:00+00:00,google_play
5,,nice,2026-06-08 10:55:53+00:00,google_play
5,,noice 👍🏻,2026-06-08 10:52:17+00:00,google_play
1,,do not choose it for your trading profession it is not a good broker,2026-06-08 10:45:36+00:00,google_play
1,,bad app,2026-06-08 10:44:08+00:00,google_play
5,,excellent,2026-06-08 10:41:42+00:00,google_play
5,,best app,2026-06-08 10:30:33+00:00,google_play
5,,very useful,2026-06-08 10:29:52+00:00,google_play
5,,easily trading,2026-06-08 10:24:07+00:00,google_play
5,,good app and support teem is helpfull,2026-06-08 10:11:19+00:00,google_play
5,,"good app for the stock market, Mutualfunds",2026-06-08 10:09:28+00:00,google_play
1,,baler app,2026-06-08 10:07:59+00:00,google_play
5,,users friendly,2026-06-08 10:03:30+00:00,google_play
3,,trusted,2026-06-08 09:56:29+00:00,google_play
5,,it's so good and nice to use,2026-06-08 09:49:56+00:00,google_play
5,,thode brokerage jayda hai,2026-06-08 09:49:37+00:00,google_play
5,,good apps,2026-06-08 09:48:29+00:00,google_play
4,,This place to,2026-06-08 09:43:59+00:00,google_play
5,,best broker,2026-06-08 09:39:46+00:00,google_play
5,,"one of the best apps for trading, thank you.",2026-06-08 09:29:58+00:00,google_play
4,,very good,2026-06-08 09:26:54+00:00,google_play
5,,it's a very good App,2026-06-08 09:24:24+00:00,google_play
5,,very good 👍,2026-06-08 09:14:20+00:00,google_play
5,,good morning good,2026-06-08 09:11:44+00:00,google_play
4,,good platform,2026-06-08 09:02:35+00:00,google_play
5,,the best app for trending,2026-06-08 08:56:49+00:00,google_play
5,,nice app,2026-06-08 08:53:49+00:00,google_play
5,,best for investment,2026-06-08 08:52:43+00:00,google_play
5,,ha shi hai,2026-06-08 08:48:20+00:00,google_play
5,,most incom source,2026-06-08 08:47:10+00:00,google_play
5,,very nice good for you ❤️‍🩹,2026-06-08 08:42:24+00:00,google_play
5,,thank you groww,2026-06-08 08:36:42+00:00,google_play
5,,Good,2026-06-08 08:01:25+00:00,google_play
5,,very good👍,2026-06-08 07:50:54+00:00,google_play
4,,best app,2026-06-08 07:25:10+00:00,google_play
5,,very good,2026-06-08 07:20:47+00:00,google_play
1,,this is not enough features 😔,2026-06-08 06:52:21+00:00,google_play
4,,"cash segment nifty indication very small, please midium size so can we saw correct.",2026-06-08 05:15:17+00:00,google_play
4,,Investment best app,2026-06-08 01:10:53+00:00,google_play
5,,helpful app,2026-06-08 01:05:40+00:00,google_play
5,,good website,2026-06-08 01:02:34+00:00,google_play
5,,Best app for investment platform,2026-06-07 23:27:21+00:00,google_play
5,,👍 Good,2026-06-07 23:16:57+00:00,google_play
1,,the worst,2026-06-07 23:05:53+00:00,google_play
5,,this ap made me millionaire,2026-06-07 22:39:11+00:00,google_play
1,,pls don't disturb whn we are in the star maker,2026-06-07 22:16:46+00:00,google_play
3,,very good app,2026-06-07 21:50:42+00:00,google_play
5,,"Excellent app. Kindly give 1. Break down screener (S1,2,3,4,5) similar to breakout screener in stock section . 2. screener in f&o section having long buildup short buildup long unwinding short covering related to stock futures 3. Kindly add Nifty 200 in index section of groww screener 4. Kindly include nifty energy and nifty reality sections also in indexes 5. in Stock screener in the RSI section kindly add 30-70 range also. There are above 70 and below 30 range",2026-06-07 21:45:20+00:00,google_play
5,,good app,2026-06-07 21:23:50+00:00,google_play
